id,text,label,explanation
14,"""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for the administration;",provision,"The paragraph defines a specific term, which is a common feature of legal provisions."
15,"""excluded meeting"" means— (a) any meeting convened and held exclusively for the lawful purposes of any public body; or (b) any meeting of the members of any registered organisation, whether corporate or unincorporate, convened in accordance with the constitution of the organisation and held exclusively for the lawful purposes of that organisation; (c) any meeting of the members of any trade union convened and held exclusively for the lawful purposes of that trade union; (d) any meeting convened and held exclusively for social, cultural, charitable, educational, commercial or industrial purposes; (e) any meeting of the organs of a political party, convened in accordance with the constitution of the party and held exclusively to discuss the affairs of the party; (f) impromptu ""meet-the-people"" tours by Members of Parliament and councillors;",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph defines 'excluded meeting' by list"
16,"""hours of darkness"" means the hours between half-past six in the evening and half-past six on the following morning;",provision,"The paragraph defines a specific term, which is a characteristic of a legal provision."
17,"""hours of daylight"" means the hours between half-past six in the morning and half-past six in the evening;",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph defines a specific term, which is "
18,"""meeting"" means any gathering of persons (not being an excluded meeting) convened and held for any purpose, including any political purpose;",provision,"The paragraph defines a specific term ('meeting') within a legal context, which is characteristic of a legal provision."
19,"""offensive weapon"" means any article made or adapted for use for causing injury to the person, or intended by the person having it in his possession or under his control for such use;",provision,"The paragraph provides a specific definition of 'offensive weapon,' which is a legal provision."
20,"""political organisation"" means any organisation which either has among its objects any political purpose or pursues any political purpose;",provision,"The paragraph provides a specific definition for 'political organisation,' which is characteristic of a legal provision."
21,"""premises"" includes any land, any building and any other place whatsoever;",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph defines a term, which is a common "
22,"""private premises"" means premises which are not public places;",provision,"The paragraph provides a specific definition for 'private premises,' which is a characteristic of a legal provision."
23,"""public gathering"" means a public meeting, a public procession, and any other meeting, gathering or concourse of ten or more persons in any public place;",provision,"The paragraph defines a specific term, which is a common feature of legal provisions."
24,"""public meeting"" means any meeting held or to be held in a public place, and any meeting which the public or any section of the public or more than fifty persons are or are to be permitted to attend whether on payment or otherwise;",provision,"The paragraph defines a specific term, 'public meeting,' which is characteristic of a legal provision."
25,"""public place"" means any place to which for the time being the public or any section of the public are entitled or permitted to have access whether on payment or otherwise, and, in relation to any meeting to be held in the future, includes any place which will, on the occasion and for the purposes of such meeting, be a public place;",provision,"The paragraph provides a specific definition of 'public place,' which is a legal provision."
26,"""public procession"" means any procession in, to or from a public place;",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph provides a specific definition for"
27,"""regulating officer"" means the officer-in-charge of the police station in the area in which a proposed public meeting is proposed to be held, or in the case of a public procession, the police officer-in-charge of the police station in the area in which the procession is proposed to start and to end;",provision,"The paragraph defines a specific term, 'regulating officer,' which is a characteristic of legal provisions."
28,"""school"" means any premises or any part of any premises where persons are habitually or for the time being taught, whether in one class or more.",provision,"The paragraph provides a specific definition for the term 'school,' which is a common feature of legal provisions."
29,"[Act No. 7 of 1958, s. 2, Act No. 53 of 1960, s. 3, L.N. 402/1963, L.N. 153/1965, Act No. 10 of 1997, Sch.]",error,"Non-JSON response: ```json
{
  ""label"": ""not_provision"",
  ""explanation"": ""The text is a list of amendments and legal r"
30,PART II – QUASI-MILITARY ORGANISATIONS AND POLITICAL UNIFORMS,provision,"The text appears to be a section heading from a legal document, indicating a specific provision related to quasi-military organizations and political uniforms."
31,"3.  Prohibition of organisations equipped to usurp functions of police, etc. (1)  If the members or adherents of any association of persons, whether incorporated or not, are— (a) organised or trained or equipped for the purpose of enabling them to be employed in usurping the functions of the police or of the Kenya Defence Forces; or (b) organised and trained or organised and equipped either for the purpose of enabling them to be employed for the use or display of physical force in promoting any political object, or in such manner as to arouse reasonable apprehension that they are organised and either trained or equipped for that purpose, then any member or adherent of such association shall be guilty of an offence and liable to a fine not exceeding one hundred thousand shillings or imprisonment for a term not exceeding two years, or to both such fine and such imprisonment, and any person who promotes or conspires with another to promote or who takes part in the control or management of the association, or in so organising or training or equipping as aforesaid any member or adherent thereof, shall be guilty of an offence and liable to a fine of two thousand shillings or to imprisonment for a term not exceeding three years, or to both such fine and such imprisonment:",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal prohibitio"
32,"Provided that in any proceedings against a person charged with the offence of taking part in the control or management of such an association as aforesaid it shall be a defence to that charge to prove that he neither consented to nor connived at the organisation, training or equipment of members or adherents of the association in contravention of the provisions of this section.",provision,"The paragraph outlines a specific legal defense available in proceedings, which is a characteristic of a legal provision."
33,(2)  No prosecution under this section shall be instituted without the consent of the Director of Public Prosecutions.,provision,"The paragraph specifies a legal requirement or condition related to prosecution, indicating it is a provision."
34,"(3)  If, upon application being made by the Attorney-General, it appears to the High Court that any association is an association of which members or adherents are organised, trained or equipped in contravention of the provisions of this section, the Court may make such order as appears necessary to prevent any disposition without the leave of the Court of property held by or for the association, and may direct an inquiry and report to be made as to any such property as aforesaid and as to the affairs of the association, and may make such further orders as appear to the Court to be just and equitable for the application of such property in or towards the discharge of the liabilities of the association lawfully incurred before the date of the application or since that date with the approval of the Court, in or towards repayment of moneys to persons who became subscribers or contributors to the association in good faith and without knowledge of any such contravention as aforesaid, and in or towards any costs incurred in connexion with any such inquiry and report as aforesaid or in winding up or dissolving the association, and may order that any property which is not directed by the Court to be so applied as aforesaid shall be forfeited.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal actions an"
35,"(4)  In any criminal or civil proceedings under this section, proof of things done or of words written, spoken or published (whether or not in the presence of any party to the proceedings) by any person taking part in the control or management of an association or in organising, training or equipping members or adherents of an association shall be admissible as evidence of the purposes for which, or the manner in which, members or adherents of the association (whether those persons or others) were organised, or trained or equipped.",provision,"The paragraph outlines specific legal rules regarding the admissibility of evidence in criminal or civil proceedings, which is characteristic of a legal provision."
36,"(5)  If a judge of the High Court or magistrate is satisfied by information on oath that there is reasonable ground for suspecting that an offence under this section has been committed, and that evidence of the commission thereof is to be found at any premises or place specified in the information, he may, on an application made by a police officer of a rank not lower than that of Inspector, grant a search warrant authorising any such police officer named in the warrant together with any other persons named in the warrant and any other police officers to enter the premises or place at any time within one month from the date of the warrant, if necessary by force, and to search the premises or place and every person found therein, and seize anything found on the premises or place or on any such person which the officer has reasonable ground for suspecting to be evidence of the commission of such an offence as aforesaid:",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal conditions"
37,"Provided that no woman shall, in pursuance of a warrant issued under this subsection, be searched except by a woman.",provision,"The paragraph sets a specific legal requirement regarding the search of women, indicating it is a provision."
38,"(6)  Nothing in this section shall be construed as prohibiting the employment of a reasonable number of persons as stewards to assist in the preservation of order at any public meeting held upon private premises, or the making of arrangements for that purpose or the instruction of the persons to be so employed in their lawful duties as such stewards, or their being furnished with badges or other distinguishing signs.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific allowances and c"
39,"[L.N. 87/1964, Act No. 12 of 2012, Sch., Act No. 19 of 2014, s. 2.]",not_provision,"The text is a citation of legal acts and amendments, not a legal provision itself."
40,"4.  Prohibition of uniforms, etc., in connexion with political objects (1)  The Cabinet Secretary may from time to time by order prohibit the wearing in public places or at public meetings of— (a) repealed by Act No. 10 of 1997, Sch.; (b) any uniform, distinctive dress or emblem by members or adherents of any organisation or association specified or described in the order, whether incorporated or not— (i) when, in the opinion of the Cabinet Secretary, members of that organisation or association are organised or trained or equipped for the purpose of enabling them to be employed in usurping the functions of the police or of the Defence Forces; or (ii) when, in the opinion of the Cabinet Secretary, members of that organisation or association are organised or trained or equipped for the purpose of enabling them to be employed for the use or display of physical force in promoting any political or other object or in such a manner as to arouse reasonable apprehension that they are organised or trained or equipped for that purpose.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines a specific legal rule or "
41,(2)  Any person who contravenes the provisions of any order made under subsection (1) of this section shall be guilty of an offence.,provision,"The paragraph specifies a legal consequence for contravening an order, indicating it is a provision."
42,"[Act No. 53 of 1960, s. 5, L.N. 402/1963, L.N. 87/1964, Act No. 10 of 1997, Sch.]",not_provision,The text is a citation of legal amendments and not a legal provision itself.
43,PART III – PUBLIC GATHERINGS,provision,"The text 'PART III – PUBLIC GATHERINGS' indicates a section heading in a legal document, which is typically a provision."
44,5.  Regulation of Public meeting and Processions (1)  No person shall hold a public meeting or a public procession except in accordance with the provisions of this section.,provision,"The paragraph outlines a specific rule regarding the regulation of public meetings and processions, indicating it is a legal provision."
45,(2)  Any person intending to convene a public meeting or a public procession shall notify the regulating officer of such intent at least three days but not more than fourteen days before the proposed date of the public meeting or procession.,provision,"The paragraph outlines a specific requirement and timeframe for notifying a regulating officer about a public meeting or procession, which is characteristic of a legal provision."
46,(3)  A notice under subsection (2) shall be in the prescribed form and shall specify— (a) the full names and physical address of the organiser of the proposed public meeting or public procession; (b) the proposed date of the meeting or procession and the time thereof which shall be between six o’clock in the morning and six o’clock in the afternoon; (c) the proposed site of the public meeting or the proposed route in the case of a public procession.,error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific requirements for"
47,"(4)  Where, upon receipt of a notice under subsection (2), it is not possible to hold the proposed public meeting or public procession for the reason that notice of another public meeting or procession on the date, at the time and at the venue proposed has already been received by the regulating officer, the regulating officer shall forthwith notify the organiser.",provision,"The paragraph outlines a specific procedure and requirement for regulating officers regarding public meetings, which is characteristic of a legal provision."
48,(5)  The notification by the regulating officer under subsection (4) shall be in writing and shall be delivered to the organiser at the physical address specified pursuant to the provision of subsection (3).,provision,"The paragraph outlines a specific requirement for the notification process, indicating it is a legal provision."
49,"(6)  Where the regulating officer notifies the organiser of a public meeting or public procession in accordance with subsection (3) that it is not possible to hold the proposed meeting or procession, such public meeting or procession shall not be held on the date, at the time and venue proposed, but may, subject to this section, be held on such future date as the organiser may subsequently notify.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific conditions under"
50,(7)  The organiser of every public meeting or public procession or his authorised agent shall be present throughout the meeting or procession and shall assist the police in the maintenance of peace and order at the meeting or procession.,provision,"The paragraph outlines a specific requirement or duty for organizers of public meetings or processions, indicating it is a legal provision."
51,"(8)  The regulating officer or any police officer of or above the rank of inspector may stop or prevent the holding of— (a) any public meeting or public procession held contrary to the provisions of subsections (2) or (6); (b) any public gathering or other meeting or procession which, having regard to the rights and interests of the persons participating in such gathering, meeting or procession, there is clear, present or imminent danger of a breach of the peace or public order, and may, for any of the purposes aforesaid, give or issue such orders, including orders for the dispersal of the meeting, procession or gathering as are reasonable in the circumstances, having regard to the rights and freedoms of the persons in respect of whom such orders are issued and the rights and freedoms of others.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific powers and condi"
52,(9)  Any person who neglects or refuses to obey any order given or issued under subsection (7) shall be guilty of an offence.,provision,"The paragraph specifies a legal obligation and the consequence of failing to comply, indicating it is a legal provision."
53,(10)  Any public meeting or public procession held contrary to the provisions of subsections (1) and (5) shall be deemed to be an unlawful assembly.,provision,"The paragraph specifies conditions under which a public meeting or procession is considered unlawful, indicating a rule or requirement."
54,"(11)  Any person who takes part in any public meeting or public procession deemed to be an unlawful assembly under subsection (10), or holds, convenes or organises or is concerned in the holding, convening or organising of any such meeting or procession shall be guilty of the offence of taking part in an unlawful assembly under Chapter IX of the Penal Code and liable to imprisonment for one year.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines a specific legal rule reg"
55,(12)  The organiser of any excluded meeting may request the regulating officer that the police be present at such meeting to ensure the maintenance of peace and order.,provision,"The paragraph outlines a specific procedure or rule regarding the presence of police at a meeting, indicating it is a legal provision."
56,(13)  A request under subsection (12) shall be in writing and shall be delivered to the regulating officer at least three days before the proposed date of the meeting.,provision,"The paragraph outlines a specific requirement for how a request should be made, including the format and timing, which is characteristic of a legal provision."
57,(14)  The regulating officer shall keep a public register of all notices received under subsection (2).,provision,"The paragraph specifies a duty or requirement for the regulating officer, indicating it is a legal provision."
58,"(15)  Any person may, during working hours, inspect the register kept under subsection (14).",provision,"The paragraph outlines a specific right or action that can be taken, indicating it is a provision."
59,"[Act No. 10 of 1997, Sch.]",error,"Non-JSON response: ```json
{
  ""label"": ""not_provision"",
  ""explanation"": ""The text appears to be a citation or referen"
60,"6.  Prohibition of offensive weapons at public meetings and processions (1)  Any person who, while present at any public meeting or on the occasion of any public procession, has with him any offensive weapon, otherwise than in pursuance of lawful authority, shall be guilty of an offence.",provision,"The paragraph outlines a specific legal rule prohibiting the possession of offensive weapons at public meetings or processions, which constitutes a legal provision."
61,"(2)  For the purposes of this section, a person shall not be deemed to be acting in pursuance of lawful authority unless he is acting in his capacity as a police officer",provision,"The paragraph defines a specific condition under which a person is considered to be acting with lawful authority, indicating a legal rule or provision."
62,or member of a fire brigade or otherwise in his capacity as a public officer or as a servant of a local authority.,provision,"The paragraph specifies roles and capacities related to public service, indicating it is part of a legal provision defining responsibilities or protections."
63,"[Act No. 53 of 1960, s. 6.]",not_provision,"The text is a citation or reference to an act and section number, not a legal provision itself."
64,"7.  Power to prohibit entertainments and sporting events (1)  If at any time it appears to the Inspector-General of National Police Service that serious public disorder is likely to arise at or on the occasion of any race- meeting, sporting event or other entertainment of any description, he may, by notice addressed to the promoter, organiser or manager thereof, prohibit the holding or continuance thereof in any area or place or on any particular day.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines a specific power granted "
65,"(2)  A notice under subsection (1) of this section shall be served on the person, or one of the persons if more than one, promoting, organising or managing the race-meeting, sporting event or entertainment.",provision,"The paragraph specifies a requirement for serving a notice, indicating it is a legal provision."
66,"(3)  If such race-meeting, sporting event or entertainment is held or continued in contravention of the terms of a notice issued under subsection (1) of this section, any person taking part in the promotion, organisation or management thereof shall be guilty of an offence.",provision,"The paragraph specifies a legal consequence for a specific action, indicating it is a provision."
67,"(4)  Any police officer may give or issue such orders and use such force as may be necessary to prevent the holding or continuance of a race-meeting, sporting event or other entertainment the holding or continuance of which has been prohibited by a notice issued under subsection (1) of this section and to disperse any gathering of persons thereat.",provision,"The paragraph outlines specific powers and actions that a police officer is authorized to take, which is characteristic of a legal provision."
68,(5)  Any person who neglects or refuses to obey any order given or issued under subsection (4) of this section shall be guilty of an offence.,provision,"The paragraph outlines a legal obligation and the consequence of failing to comply, which is characteristic of a legal provision."
69,"(6)  A certificate under the hand of the Inspector-General of the National Police Service, specifying the terms, and the date and manner of service, of a notice under this section, shall be prima facie evidence thereof in all legal proceedings.",provision,"The paragraph specifies a legal requirement related to evidence in legal proceedings, indicating it is a provision."
70,"[Act No. 53 of 1960, s. 6, L.N. 402/1963, L.N. 153/1965, Act No. 19 of 2014, s. 3.]",not_provision,"The text is a citation of legal amendments and references, not a legal provision itself."
71,PART IV – CURFEW ORDERS AND CURFEW RESTRICTION ORDERS,error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph is a title indicating a specific s"
72,"8.  Curfew orders (1)  The Cabinet Secretary, on the advice of the Inspector-General of the National Police Service may, if he considers it necessary in the interests of public order so to do, by order (hereinafter referred to as a curfew order) direct that, within such area and during such hours as may be specified in the curfew order, every person, or, as the case may be, every member of any class of persons specified in the curfew order, shall, except under and in accordance with the terms and conditions of a written permit granted by an authority or person specified in the curfew order, remain indoors in the premises at which he normally resides, or at such other premises as may be authorised by or under the curfew order. (2) (a) It shall be a condition of every permit granted under subsection (1) of this section that the holder thereof shall at all times while acting under the authority thereof during the hours of darkness carry a light visible at a distance of twenty-five feet. (b) Subject to paragraph (a) of this subsection, a permit under subsection (1) of this section may be granted subject to such conditions, to be specified in the permit, as the authority or person granting it may think fit.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal requiremen"
73,"(3)  A curfew order shall be published in such manner as the authority making it may think sufficient to bring it to the notice of all persons affected thereby, and shall come into force on such day, being the day of or a day after the making thereof, as may be specified therein, and shall remain in force for the period specified therein or until earlier rescinded by the same authority or by the Cabinet Secretary as hereinafter provided:",provision,"The paragraph outlines specific requirements and procedures for the publication and enforcement of a curfew order, indicating it is a legal provision."
74,"Provided that no curfew order which imposes a curfew operating during more than ten consecutive hours of daylight shall remain in force for more than three days, and no curfew order which imposes a curfew operating during any lesser number of consecutive hours of daylight shall remain in force for more than seven days.",provision,"The paragraph sets specific conditions and limitations on the duration of curfew orders, indicating it is a legal provision."
75,"(4)  Deleted by Act No. 19 of 2014, s. 4(b).",provision,"The paragraph refers to a specific section of a legal act that has been deleted, indicating it is part of a legal provision."
76,(5)  The variation or rescission of a curfew order shall be published in like manner as that provided in subsection (3) of this section for the publication of a curfew order.,provision,"The paragraph outlines a specific legal requirement regarding the publication of changes to a curfew order, indicating it is a provision."
77,"(6)  Any person who contravenes any of the provisions of a curfew order or any of the terms or conditions of a permit granted to him under subsection (1) of this section shall be guilty of an offence and liable to a fine not exceeding ten thousand shillings or to imprisonment for a term not exceeding three months, or to both such fine and such imprisonment.",provision,"The paragraph specifies a legal consequence for contravening a curfew order, detailing penalties, which is characteristic of a legal provision."
78,"(7)  A certificate under the hand of the authority making, varying or rescinding a curfew order, specifying the terms, and the date and manner of publication, of such order, variation or rescission, shall be prima facie evidence thereof in all legal proceedings.",provision,"The paragraph describes a legal requirement regarding the issuance and evidentiary status of a certificate related to curfew orders, which is a specific legal rule or provision."
79,"(8)  Any person who, without lawful excuse, carries or has in his possession, in any area in which a curfew order is in force and during the hours during which the curfew imposed thereby is operative, any offensive weapon shall be guilty of an offence:",provision,"The paragraph outlines a specific legal rule regarding possession of offensive weapons during a curfew, indicating it is a legal provision."
80,Provided that no person shall be convicted of an offence under this section if he proves to the satisfaction of the Court that he carried or had in his possession the offensive weapon— (i) solely for domestic or defensive purposes within enclosed premises which he lawfully occupied or in which he was lawfully present; or (ii) with the authority of his employer and solely for domestic or defensive purposes within enclosed premises in the lawful occupation of his employer.,provision,"The paragraph outlines specific conditions under which a person shall not be convicted of an offence, indicating it is a legal provision."
81,"[Act No. 53 of 1960, s. 6, LN 402 of 1963, LN 153 of 1965, Act No. 19 of 2014, s. 4.]",error,"Non-JSON response: ```json
{
  ""label"": ""not_provision"",
  ""explanation"": ""The text is a citation of legal amendments a"
82,"9.  Curfew restriction orders (1)  A police officer in charge of the police in a county or a police officer in charge of a police division may, if he considers it necessary in the interests of public order within the area of his responsibility so to do, by order (hereinafter referred to as a curfew restriction order) prohibit, during such hours as may be specified in the curfew restriction order, all persons, or, as the case may be, all members of any class of persons specified in the curfew restriction order, from entering, being or remaining, except under and in accordance with the terms and conditions of a written permit granted by an authority or person specified in the curfew restriction order, in or at any premises specified in the curfew restriction order:",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal authority "
83,"Provided that no person shall, by or in pursuance of a curfew restriction order, be prohibited or prevented from entering, being or remaining in any premises at which he normally resides, or, during reasonable hours of business, work or employment, any premises at which he normally has his place of business, work or employment.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph specifies conditions and restricti"
84,"(2)  A permit under subsection (1) of this section may be granted subject to such conditions, to be specified in the permit, as the authority or person granting it may think fit.",provision,"The paragraph outlines specific conditions under which a permit may be granted, indicating it is a legal provision."
85,"(3)  A curfew restriction order shall be published in such manner as the authority making it may think sufficient to bring it to the notice of all persons affected thereby, and shall come into force on such day, being the day of or a day after the making thereof, as may be specified therein, and shall remain in force for such period, not exceeding twenty-eight days, as may be specified therein or until earlier rescinded by the same authority or by the Cabinet Secretary as hereinafter provided.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific legal requiremen"
86,"(4)  Every curfew restriction order shall, forthwith on its being made, be reported to the Inspector General of Police, and the Inspector General of Police may, if he thinks fit, vary or rescind the curfew restriction order.",provision,"The paragraph outlines a specific legal requirement and procedure related to curfew restriction orders, indicating it is a provision."
87,(5)  The variation or rescission of a curfew restriction order shall be published in like manner as that provided in subsection (3) of this section for the publication of a curfew restriction order.,provision,"The paragraph outlines a specific legal requirement regarding the publication of changes to a curfew restriction order, indicating it is a provision."
88,"(6)  Any person who contravenes any of the provisions of a curfew restriction order or any of the terms or conditions of a permit granted to him under subsection (1) of this section shall be guilty of an offence and liable to a fine not exceeding ten thousand shillings or to imprisonment for a term not exceeding three months, or to both such fine and such imprisonment.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph specifies a legal consequence for "
89,"(7)  A certificate under the hand of the authority making, varying or rescinding a curfew restriction order, specifying the terms, and the date and manner of publication, of such order, variation or rescission, shall be prima facie evidence thereof in all legal proceedings.",provision,"The paragraph outlines a specific legal requirement regarding certificates related to curfew restriction orders, indicating it is a provision."
90,"[Act No. 53 of 1960, s. 6, L.N. 402/1963, L.N. 153/1965, Act No. 19 of 2014, s. 5.]",not_provision,"The paragraph consists of citations and references to legal acts and amendments, not a legal provision itself."
91,"PART V – FLAGS, BANNERS AND EMBLEMS",provision,"The paragraph appears to be a section heading from a legal document, indicating a specific part related to flags, banners, and emblems, which is characteristic of a legal provision."
92,"10. [Repealed by Act No. 10 of 1997, Sch.]",provision,"The paragraph references a specific legal change, indicating it is part of a legal document."
93,PART VI – FURTHER PROVISIONS TO SAFEGUARD PUBLIC ORDER,error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph title indicates it is part of a le"
94,"11.  Possession of offensive weapon in public place (1)  Any person who, without lawful authority or reasonable excuse, the proof whereof shall lie on him, has with him in any street or public place any offensive weapon shall be guilty of an offence and liable to imprisonment for a term not exceeding two years or to a fine not exceeding one hundred thousand shillings, or to both such imprisonment and such fine.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines a specific legal rule reg"
95,"(2)  Where any person is convicted of an offence under subsection (1) of this section, the Court may make an order for the forfeiture of any weapon in respect of which the offence was committed.",provision,"The paragraph outlines a specific legal consequence (forfeiture of a weapon) that the court may impose, which is characteristic of a legal provision."
96,(3)  Every offence under this section shall be cognisable to the police.,provision,"The paragraph specifies a legal requirement regarding the cognisability of an offense, indicating it is a legal provision."
97,"(4)  In this section, ""offensive weapon"" means any article made or adapted for use for causing injury to the person, or capable of being so used, or intended by the person having it with him for such use, and includes any panga, simi or similar weapon.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph defines a specific term ('offensiv"
98,"(5) (a) This section shall apply to such areas, and during such hours, as the Cabinet Secretary may, by notice in the Gazette, declare. (b) A notice under this section may apply the section during different hours in respect of different areas.",provision,"The paragraph outlines specific rules and conditions under which a section of a legal document is applicable, indicating it is a legal provision."
99,"[Act No. 10 of 1958, ss. 1, 2 and 3, Act No. 23 of 1960, ss. 2, 3 and 4, Act No. 19 of 2014, s. 6.]",error,"Non-JSON response: ```json
{
  ""label"": ""not_provision"",
  ""explanation"": ""The text is a citation of legal acts and sec"
100,"12. [Repealed by Act No. 19 of 2014, s. 7.]",provision,"The paragraph references a specific section of legislation that has been repealed, indicating it is part of a legal document."
101,"13.  Award of compensation to sufferers from misconduct of inhabitants of area declared under section 106 of Cap. 84 (1)  If in any area, in regard to which any declaration issued under section 106 of the National Police Service Act (Cap. 84) is in force, death or grievous harm, or loss of or damage to property has been caused by, or has ensued from, the misconduct of the inhabitants of such area, or of any class or section of such inhabitants, any person who claims to have suffered loss, damage or injury by reason of such misconduct may, within one month from the date of such loss, damage or injury, make an application for compensation to a magistrate appointed under the said section or, where no magistrate has been so appointed, to a magistrate having jurisdiction within the district in which the declared area is situated.",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines a specific legal procedur"
102,"(2)  Upon receipt of any such claim, the Magistrate may, after such inquiry as he may consider necessary, and whether or not any additional police officers have been stationed in the declared area under section 106 of the National Police Service Act (Cap. 84)— (a) assess the amount of compensation, if any, to be paid to such person or persons as he may determine; (b) determine the manner, and proportions, in which such compensation shall be distributed; (c) assess the proportions in which such compensation shall be paid by the inhabitants of the declared area; and (d) order the payment of such compensation:",error,"Non-JSON response: ```json
{
  ""label"": ""provision"",
  ""explanation"": ""The paragraph outlines specific actions and powe"
