id,text,label,explanation
46,(3)  A notice under subsection (2) shall be in the prescribed form and shall specify— (a) the full names and physical address of the organiser of the proposed public meeting or public procession; (b) the proposed date of the meeting or procession and the time thereof which shall be between six o’clock in the morning and six o’clock in the afternoon; (c) the proposed site of the public meeting or the proposed route in the case of a public procession.,provision,"This paragraph establishes specific requirements for a notice related to public meetings or processions, detailing the form and content necessary for compliance."
47,"(4)  Where, upon receipt of a notice under subsection (2), it is not possible to hold the proposed public meeting or public procession for the reason that notice of another public meeting or procession on the date, at the time and at the venue proposed has already been received by the regulating officer, the regulating officer shall forthwith notify the organiser.",provision,This paragraph establishes a legal process and obligation for the regulating officer to notify the organiser if a proposed public meeting or procession cannot be held due to a scheduling conflict.
48,(5)  The notification by the regulating officer under subsection (4) shall be in writing and shall be delivered to the organiser at the physical address specified pursuant to the provision of subsection (3).,provision,"This paragraph establishes a legal requirement for the notification by the regulating officer to be in writing and delivered to a specified address, which is an enforceable obligation."
49,"(6)  Where the regulating officer notifies the organiser of a public meeting or public procession in accordance with subsection (3) that it is not possible to hold the proposed meeting or procession, such public meeting or procession shall not be held on the date, at the time and venue proposed, but may, subject to this section, be held on such future date as the organiser may subsequently notify.",provision,"This paragraph establishes a legal rule regarding the conditions under which a public meeting or procession may be held, including the requirement for notification and potential rescheduling."
50,(7)  The organiser of every public meeting or public procession or his authorised agent shall be present throughout the meeting or procession and shall assist the police in the maintenance of peace and order at the meeting or procession.,provision,"This paragraph establishes obligations for the organiser of a public meeting or procession, requiring their presence and cooperation with the police to maintain peace and order. It contains enforceable content."
51,"(8)  The regulating officer or any police officer of or above the rank of inspector may stop or prevent the holding of— (a) any public meeting or public procession held contrary to the provisions of subsections (2) or (6); (b) any public gathering or other meeting or procession which, having regard to the rights and interests of the persons participating in such gathering, meeting or procession, there is clear, present or imminent danger of a breach of the peace or public order, and may, for any of the purposes aforesaid, give or issue such orders, including orders for the dispersal of the meeting, procession or gathering as are reasonable in the circumstances, having regard to the rights and freedoms of the persons in respect of whom such orders are issued and the rights and freedoms of others.",provision,"This paragraph establishes the authority of certain officers to stop or prevent public meetings or processions under specific conditions, outlining enforceable actions and considerations."
52,(9)  Any person who neglects or refuses to obey any order given or issued under subsection (7) shall be guilty of an offence.,provision,"This paragraph establishes a legal obligation and specifies a consequence for non-compliance, making it an enforceable rule."
53,(10)  Any public meeting or public procession held contrary to the provisions of subsections (1) and (5) shall be deemed to be an unlawful assembly.,provision,This paragraph establishes a legal rule by defining certain public meetings or processions as unlawful assemblies if they contravene specific subsections.
54,"(11)  Any person who takes part in any public meeting or public procession deemed to be an unlawful assembly under subsection (10), or holds, convenes or organises or is concerned in the holding, convening or organising of any such meeting or procession shall be guilty of the offence of taking part in an unlawful assembly under Chapter IX of the Penal Code and liable to imprisonment for one year.",provision,This paragraph establishes a legal rule and specifies the offense and penalty for participating in or organizing an unlawful assembly.
55,(12)  The organiser of any excluded meeting may request the regulating officer that the police be present at such meeting to ensure the maintenance of peace and order.,provision,"This paragraph establishes a legal right for the organiser to request police presence at a meeting, which is enforceable and actionable."
56,(13)  A request under subsection (12) shall be in writing and shall be delivered to the regulating officer at least three days before the proposed date of the meeting.,provision,"This paragraph establishes a specific requirement for making a request, including the form (in writing) and the timeframe (at least three days before the meeting), which is enforceable."
57,(14)  The regulating officer shall keep a public register of all notices received under subsection (2).,provision,"This paragraph establishes an obligation for the regulating officer to maintain a public register, which is an enforceable action."
58,"(15)  Any person may, during working hours, inspect the register kept under subsection (14).",provision,"This paragraph establishes a legal right for any person to inspect the register during working hours, making it an enforceable rule."
59,"[Act No. 10 of 1997, Sch.]",not_provision,"This is a citation or reference to an act and schedule, not a standalone legal provision."
60,"6.  Prohibition of offensive weapons at public meetings and processions (1)  Any person who, while present at any public meeting or on the occasion of any public procession, has with him any offensive weapon, otherwise than in pursuance of lawful authority, shall be guilty of an offence.",provision,"This paragraph establishes a legal rule prohibiting the possession of offensive weapons at public meetings or processions without lawful authority, and specifies that violation constitutes an offence."
61,"(2)  For the purposes of this section, a person shall not be deemed to be acting in pursuance of lawful authority unless he is acting in his capacity as a police officer",provision,"This paragraph establishes a legal rule defining when a person is considered to be acting under lawful authority, specifically in the capacity of a police officer."
62,or member of a fire brigade or otherwise in his capacity as a public officer or as a servant of a local authority.,not_provision,"This text appears to be part of a larger sentence or clause, likely specifying exceptions or roles, but it does not independently establish a legal rule or obligation."
63,"[Act No. 53 of 1960, s. 6.]",not_provision,"This is a citation indicating the act number and section, not a standalone legal provision."
64,"7.  Power to prohibit entertainments and sporting events (1)  If at any time it appears to the Inspector-General of National Police Service that serious public disorder is likely to arise at or on the occasion of any race- meeting, sporting event or other entertainment of any description, he may, by notice addressed to the promoter, organiser or manager thereof, prohibit the holding or continuance thereof in any area or place or on any particular day.",provision,This paragraph establishes a legal rule granting the Inspector-General of National Police Service the authority to prohibit events if there is a likelihood of serious public disorder.
65,"(2)  A notice under subsection (1) of this section shall be served on the person, or one of the persons if more than one, promoting, organising or managing the race-meeting, sporting event or entertainment.",provision,"This paragraph establishes a legal obligation regarding the service of a notice to specific individuals involved in organizing an event, making it enforceable and actionable."
66,"(3)  If such race-meeting, sporting event or entertainment is held or continued in contravention of the terms of a notice issued under subsection (1) of this section, any person taking part in the promotion, organisation or management thereof shall be guilty of an offence.",provision,"This paragraph establishes a legal rule by stating that participating in the promotion, organization, or management of an event held in contravention of a notice is an offense."
67,"(4)  Any police officer may give or issue such orders and use such force as may be necessary to prevent the holding or continuance of a race-meeting, sporting event or other entertainment the holding or continuance of which has been prohibited by a notice issued under subsection (1) of this section and to disperse any gathering of persons thereat.",provision,"This paragraph establishes the authority of police officers to issue orders and use necessary force to prevent or disperse prohibited events, making it an enforceable legal rule."
68,(5)  Any person who neglects or refuses to obey any order given or issued under subsection (4) of this section shall be guilty of an offence.,provision,"This paragraph establishes a legal obligation and specifies a consequence for non-compliance, making it enforceable."
69,"(6)  A certificate under the hand of the Inspector-General of the National Police Service, specifying the terms, and the date and manner of service, of a notice under this section, shall be prima facie evidence thereof in all legal proceedings.",provision,"This paragraph establishes a legal rule regarding the evidentiary status of a certificate issued by the Inspector-General of the National Police Service. It specifies that such a certificate is considered prima facie evidence in legal proceedings, which is an enforceable legal concept."
70,"[Act No. 53 of 1960, s. 6, L.N. 402/1963, L.N. 153/1965, Act No. 19 of 2014, s. 3.]",not_provision,This text is a citation and reference to legislative amendments and not a standalone legal provision.
71,PART IV – CURFEW ORDERS AND CURFEW RESTRICTION ORDERS,not_provision,This is a part heading and does not contain enforceable or actionable content.
72,"8.  Curfew orders (1)  The Cabinet Secretary, on the advice of the Inspector-General of the National Police Service may, if he considers it necessary in the interests of public order so to do, by order (hereinafter referred to as a curfew order) direct that, within such area and during such hours as may be specified in the curfew order, every person, or, as the case may be, every member of any class of persons specified in the curfew order, shall, except under and in accordance with the terms and conditions of a written permit granted by an authority or person specified in the curfew order, remain indoors in the premises at which he normally resides, or at such other premises as may be authorised by or under the curfew order. (2) (a) It shall be a condition of every permit granted under subsection (1) of this section that the holder thereof shall at all times while acting under the authority thereof during the hours of darkness carry a light visible at a distance of twenty-five feet. (b) Subject to paragraph (a) of this subsection, a permit under subsection (1) of this section may be granted subject to such conditions, to be specified in the permit, as the authority or person granting it may think fit.",provision,"The paragraph establishes a legal rule regarding the imposition of curfew orders, the conditions under which they can be issued, and the requirements for permits during such curfews. It outlines enforceable obligations and processes."
73,"(3)  A curfew order shall be published in such manner as the authority making it may think sufficient to bring it to the notice of all persons affected thereby, and shall come into force on such day, being the day of or a day after the making thereof, as may be specified therein, and shall remain in force for the period specified therein or until earlier rescinded by the same authority or by the Cabinet Secretary as hereinafter provided:",provision,"This paragraph establishes a legal rule regarding the publication and enforcement of a curfew order, including how it comes into force and its duration."
74,"Provided that no curfew order which imposes a curfew operating during more than ten consecutive hours of daylight shall remain in force for more than three days, and no curfew order which imposes a curfew operating during any lesser number of consecutive hours of daylight shall remain in force for more than seven days.",provision,"This paragraph establishes specific limitations on the duration of curfew orders, making it an enforceable legal rule."
75,"(4)  Deleted by Act No. 19 of 2014, s. 4(b).",not_provision,"This text indicates a deletion and references an amendment, which is not a standalone legal provision."
76,(5)  The variation or rescission of a curfew order shall be published in like manner as that provided in subsection (3) of this section for the publication of a curfew order.,provision,"This paragraph establishes a legal process for the publication of variations or rescissions of a curfew order, making it enforceable and actionable."
77,"(6)  Any person who contravenes any of the provisions of a curfew order or any of the terms or conditions of a permit granted to him under subsection (1) of this section shall be guilty of an offence and liable to a fine not exceeding ten thousand shillings or to imprisonment for a term not exceeding three months, or to both such fine and such imprisonment.",provision,"This paragraph establishes a legal rule and specifies penalties for contravening a curfew order or permit conditions, making it enforceable."
78,"(7)  A certificate under the hand of the authority making, varying or rescinding a curfew order, specifying the terms, and the date and manner of publication, of such order, variation or rescission, shall be prima facie evidence thereof in all legal proceedings.",provision,This paragraph establishes a legal rule regarding the evidentiary status of a certificate related to curfew orders in legal proceedings.
79,"(8)  Any person who, without lawful excuse, carries or has in his possession, in any area in which a curfew order is in force and during the hours during which the curfew imposed thereby is operative, any offensive weapon shall be guilty of an offence:",provision,"This paragraph establishes a legal rule by defining an offense related to carrying an offensive weapon during a curfew, thus making it enforceable."
80,Provided that no person shall be convicted of an offence under this section if he proves to the satisfaction of the Court that he carried or had in his possession the offensive weapon— (i) solely for domestic or defensive purposes within enclosed premises which he lawfully occupied or in which he was lawfully present; or (ii) with the authority of his employer and solely for domestic or defensive purposes within enclosed premises in the lawful occupation of his employer.,provision,"This paragraph establishes a legal rule regarding the conditions under which a person shall not be convicted of an offence related to possession of an offensive weapon. It specifies the circumstances that can be used as a defense in court, making it enforceable and actionable."
81,"[Act No. 53 of 1960, s. 6, LN 402 of 1963, LN 153 of 1965, Act No. 19 of 2014, s. 4.]",not_provision,"This is a citation of amendments and legal references, not a standalone legal provision."
82,"9.  Curfew restriction orders (1)  A police officer in charge of the police in a county or a police officer in charge of a police division may, if he considers it necessary in the interests of public order within the area of his responsibility so to do, by order (hereinafter referred to as a curfew restriction order) prohibit, during such hours as may be specified in the curfew restriction order, all persons, or, as the case may be, all members of any class of persons specified in the curfew restriction order, from entering, being or remaining, except under and in accordance with the terms and conditions of a written permit granted by an authority or person specified in the curfew restriction order, in or at any premises specified in the curfew restriction order:",provision,"This paragraph establishes a legal rule allowing police officers to issue curfew restriction orders under specific conditions, detailing the scope and enforcement of such orders."
83,"Provided that no person shall, by or in pursuance of a curfew restriction order, be prohibited or prevented from entering, being or remaining in any premises at which he normally resides, or, during reasonable hours of business, work or employment, any premises at which he normally has his place of business, work or employment.",provision,"This paragraph establishes a legal rule regarding exceptions to curfew restrictions, specifying rights related to residence and employment premises."
84,"(2)  A permit under subsection (1) of this section may be granted subject to such conditions, to be specified in the permit, as the authority or person granting it may think fit.",provision,"This paragraph establishes a legal rule regarding the granting of permits, specifying that they may be subject to conditions determined by the granting authority."
85,"(3)  A curfew restriction order shall be published in such manner as the authority making it may think sufficient to bring it to the notice of all persons affected thereby, and shall come into force on such day, being the day of or a day after the making thereof, as may be specified therein, and shall remain in force for such period, not exceeding twenty-eight days, as may be specified therein or until earlier rescinded by the same authority or by the Cabinet Secretary as hereinafter provided.",provision,"This paragraph establishes a legal rule regarding the publication, commencement, and duration of a curfew restriction order, making it enforceable and actionable."
86,"(4)  Every curfew restriction order shall, forthwith on its being made, be reported to the Inspector General of Police, and the Inspector General of Police may, if he thinks fit, vary or rescind the curfew restriction order.",provision,This paragraph establishes a legal obligation to report curfew restriction orders to the Inspector General of Police and grants the Inspector General the authority to vary or rescind such orders.
87,(5)  The variation or rescission of a curfew restriction order shall be published in like manner as that provided in subsection (3) of this section for the publication of a curfew restriction order.,provision,"This paragraph establishes a legal process for the publication of a variation or rescission of a curfew restriction order, making it enforceable and actionable."
88,"(6)  Any person who contravenes any of the provisions of a curfew restriction order or any of the terms or conditions of a permit granted to him under subsection (1) of this section shall be guilty of an offence and liable to a fine not exceeding ten thousand shillings or to imprisonment for a term not exceeding three months, or to both such fine and such imprisonment.",provision,"This paragraph establishes a legal rule by specifying the consequences for contravening a curfew restriction order or permit terms, including fines and imprisonment."
89,"(7)  A certificate under the hand of the authority making, varying or rescinding a curfew restriction order, specifying the terms, and the date and manner of publication, of such order, variation or rescission, shall be prima facie evidence thereof in all legal proceedings.",provision,This paragraph establishes a legal rule regarding the evidentiary status of a certificate related to curfew restriction orders in legal proceedings.
90,"[Act No. 53 of 1960, s. 6, L.N. 402/1963, L.N. 153/1965, Act No. 19 of 2014, s. 5.]",not_provision,"This text is a citation and reference to amendments and legislative history, not a standalone legal provision."
91,"PART V – FLAGS, BANNERS AND EMBLEMS",not_provision,This is a part heading and does not contain enforceable or actionable content.
92,"10. [Repealed by Act No. 10 of 1997, Sch.]",not_provision,"This is a reference to a repeal and does not establish a legal rule, right, obligation, restriction, or process."
93,PART VI – FURTHER PROVISIONS TO SAFEGUARD PUBLIC ORDER,not_provision,This is a part heading and does not contain enforceable or actionable content.
94,"11.  Possession of offensive weapon in public place (1)  Any person who, without lawful authority or reasonable excuse, the proof whereof shall lie on him, has with him in any street or public place any offensive weapon shall be guilty of an offence and liable to imprisonment for a term not exceeding two years or to a fine not exceeding one hundred thousand shillings, or to both such imprisonment and such fine.",provision,"The paragraph establishes a legal rule regarding the possession of offensive weapons in public places, specifying the offense and the penalties involved."
95,"(2)  Where any person is convicted of an offence under subsection (1) of this section, the Court may make an order for the forfeiture of any weapon in respect of which the offence was committed.",provision,"This paragraph establishes a legal rule regarding the forfeiture of weapons upon conviction of an offence, making it enforceable and actionable."
96,(3)  Every offence under this section shall be cognisable to the police.,provision,"This paragraph establishes a legal rule regarding the cognisability of offences by the police, making it enforceable and actionable."
97,"(4)  In this section, ""offensive weapon"" means any article made or adapted for use for causing injury to the person, or capable of being so used, or intended by the person having it with him for such use, and includes any panga, simi or similar weapon.",provision,"This paragraph defines a term ('offensive weapon') within the context of the legal document, establishing a legal rule about what constitutes an 'offensive weapon.' This definition is enforceable and actionable."
98,"(5) (a) This section shall apply to such areas, and during such hours, as the Cabinet Secretary may, by notice in the Gazette, declare. (b) A notice under this section may apply the section during different hours in respect of different areas.",provision,"This paragraph establishes a legal rule regarding the application of a section to certain areas and times, as determined by the Cabinet Secretary. It includes enforceable content about how and when the section applies."
99,"[Act No. 10 of 1958, ss. 1, 2 and 3, Act No. 23 of 1960, ss. 2, 3 and 4, Act No. 19 of 2014, s. 6.]",not_provision,"This is a citation of acts and sections, not a standalone legal provision."
100,"12. [Repealed by Act No. 19 of 2014, s. 7.]",not_provision,"This is a reference to a repeal and does not establish a legal rule, right, obligation, or process."
101,"13.  Award of compensation to sufferers from misconduct of inhabitants of area declared under section 106 of Cap. 84 (1)  If in any area, in regard to which any declaration issued under section 106 of the National Police Service Act (Cap. 84) is in force, death or grievous harm, or loss of or damage to property has been caused by, or has ensued from, the misconduct of the inhabitants of such area, or of any class or section of such inhabitants, any person who claims to have suffered loss, damage or injury by reason of such misconduct may, within one month from the date of such loss, damage or injury, make an application for compensation to a magistrate appointed under the said section or, where no magistrate has been so appointed, to a magistrate having jurisdiction within the district in which the declared area is situated.",provision,"This paragraph establishes a legal process for individuals to claim compensation for losses due to misconduct in a specific area, detailing the conditions and timeframe for making such claims."
